Id;CategoryId(БЕРИ ID`ШНИКИ ИЗ 2 ЛИСТА ВНИЗУ);Name;Description (описание);Color(red и т.п на английском);ImageLink (НазваниеФайла.png) <-- в скобках пример;Cost (Цена)
11;3;Пинк Гаваян Корал;Обладают крупными, махровыми цветами, достигающими в диаметре до 20 см. Лепестки этих цветов, имеют нежно-розовый оттенок, который становится более насыщенным к центру цветка. Цветы источают приятный, легкий аромат, который особенно ярко раскрывается в утренние часы. Особенностью этого сорта пионов является то, что они очень хорошо переносят морозы и не требуют укрытия на зиму. Кроме того, они довольно неприхотливы в уходе и могут расти практически на любой почве, если она достаточно плодородна и увлажнена.;Pink;https://mirzhvetov.ru/wp-content/uploads/4/d/1/4d1fbcd7776553b63594bbeb7c571812.jpeg;400
12;3;Блонд Вижн;Этот пион получил свое название благодаря своим цветам, которые имеют бледно-желтый оттенок и напоминают свет солнца, пробивающийся сквозь облака. “Blonde Vision” прекрасно подходит для украшения садов, парков и дачных участков, создавая атмосферу легкости и воздушности. Нежные лепестки этого пиона будто бы покрыты тончайшим слоем серебра, что делает его еще более изысканным и прекрасным. Каждый цветок имеет свой неповторимый рисунок и оттенок, что добавляет растению уникальности и неповторимости.;White;http://sadko.by/wp-content/uploads/2017/08/Blonde-Vision9.jpg;500
13;4;Марлен;"Кустовая лилия Марлен невероятно красива! Основные характеристики сорта: высота 0,8-1 м, цветки имеют диаметр до 20 см, цветки нежно-розовые, бело-сиреневые, насыщенно красные и кипельно-белые! причем окраска цветка неравномерная; сроки цветения: июнь - июль, с момента появления с почвы побегов и до цветения проходит 75-80 дней";Pink;https://pibig.info/uploads/posts/2022-03/1646151077_33-pibig-info-p-liliya-marlen-tsveti-krasivo-foto-41.jpg;200
14;4;Лоллипоп;Многолетник, который может зимовать в открытом грунте, так как выдерживает мороз до –30⁰С. Летом не боится кратковременной засухи и сильной жары. Цветет в первой половине лета. Период бутонизации начинается примерно через 70 дней после посадки. На одном месте может цвести на протяжении 5 лет. Пересаживать чаще не рекомендуется, чтобы не ухудшить развитие куста;White-Pink;https://мирсадовод.рф/wp-content/uploads/2023/05/pee1isfx2wm.jpg;350
15;4;Кола;Лилия сорта Кола красивый темно-красный цветок, который очень шикарно смотрится. Цветение: июль-август, зацветает примерно через 85-95 дней после всхода. Высота: примерно 110 см. Количество цветков в первый год: 3-5 штук., в последующие до 10-12 шт. Диаметр цветка: 10-15 см. Как и другие азиатские гибриды, лилия Кола отличается своей неприхотливостью садить и ухаживать за ней очень просто, а нашу зиму она переносит без всякого вреда для себя.;Red;https://ivaiva.ru/images/detailed/20/Lukovicy_lilii_Blek_Aut.jpg;300
16;4;Тинос;Лилия гибридная 'Tinos' - многолетнее луковичное растение с прямыми и крепкими сильнооблиственными стеблями. Цветки диаметром до 16 см, чашевидные, кремовые с двухцветным пятном на каждом лепестке: оранжево-жёлтым в середине и красно-оранжевым у основания. Соцветия состоят из 6-7 направленных вверх цветков. Сорт подходит для срезки.;Yellow;https://stroy-podskazka.ru/images/knowledge/orig/2021/11/tinos.jpg;350
17;6;Люпин;Люпин белый – это однолетнее растение с ярко-зелеными листьями и крупными белыми или светло-розовыми ароматными цветами. Это красивое растение украшает многие сады и парки, а также используется в качестве корма для животных. Люпин белый имеет стержневую корневую систему, которая проникает глубоко в почву и обеспечивает растению устойчивость и питание. Благодаря этому, люпин может расти на разных почвах и в различных климатических условиях.;White;https://future-agro.ru/img/2023/08/white-lupines-lupins-lupinus-flowers-britt-willoughby-dyer.jpg;200
18;6;Колокольчик;Колокольчик полевой является одним из самых распространенных полевых цветов в России. Он растет на полях, лугах, лесных полянах и вдоль дорог. Колокольчик полевой имеет множество полезных свойств, таких как противовоспалительное, противомикробное и антиоксидантное действие. Из колокольчика полевого изготавливают различные лекарственные препараты, которые используются для лечения различных заболеваний, таких как простуда, грипп, бронхит, пневмония и другие. Также колокольчик полевой используется в народной медицине для лечения различных болезней.;Blue;https://gagaru.club/uploads/posts/2023-06/1685679775_gagaru-club-p-kolokolchik-polevoi-instagram-3.jpg;250
19;6;Клевер;Клевер - это многолетнее травянистое растение семейства бобовых. Он произрастает в умеренном климате Северного полушария и является одним из наиболее распространенных растений на лугах и пастбищах. Клевер имеет тройчатые листья и мелкие цветки, которые собраны в соцветия. Клевер является важным кормовым растением для скота, так как содержит большое количество белка и других питательных веществ. Кроме того, клевер обладает лекарственными свойствами и используется в народной медицине для лечения различных заболеваний.;Pink;https://your-magic.ru/wp-content/uploads/2020/01/chetyrexlistnyj-klever-06.jpg;300
20;6;Цикорий;Цикорий является не только красивым цветком, но и полезным растением. Его листья можно использовать для приготовления салатов, а корни - для приготовления напитка, похожего на кофе. Цикорий также имеет лечебные свойства. Он помогает улучшить работу печени, почек и сердца. Кроме того, цикорий может использоваться для лечения различных кожных заболеваний.;Blue;https://klau.club/uploads/posts/2023-02/1677601298_klau-club-p-vidi-tsikoriya-rasteniya-vkontakte-16.jpg;350
21;7;Новобельгийская;Цветы Новобельгийской астры могут быть самых разных оттенков - от ярко-розовых до темно-фиолетовых. Их лепестки имеют тонкую кайму, которая придает им особую изысканность. Цветение этих астр начинается в сентябре и продолжается до самых заморозков. Кроме своей красоты, Новобельгийские астры также обладают и лечебными свойствами. Их цветы и листья содержат множество полезных веществ, которые используются в народной медицине для лечения различных заболеваний.;Blue;https://www.kokos.ru/images/lots/65/7f1/657f1566966b7f2fe7037a17f44a7f28.jpg;300
22;7;Помпон;Астра имеет множество оттенков, от нежно-розового до ярко-сиреневого. Она прекрасно смотрится как в одиночных посадках, так и в сочетании с другими цветами. Благодаря своей неприхотливости и устойчивости к различным условиям произрастания, астра стала одним из самых любимых цветов среди садоводов. Цветет астра с конца лета до начала осени, наполняя воздух своим нежным ароматом. Ее цветы долго сохраняют свою свежесть и красоту, что делает этот сорт идеальным для создания букетов и композиций.;Rainbow;https://vsesorta.ru/upload/iblock/395/3951e219af1f4419bba8f8050d540493.jpg;400
